"Config:   ","WAQS      ","WAQ       ","Sobek     ","Delft3D   ","
"DynDepth  ",A,A,A,A,
"DynSurf   ",A,A,A,A,
"TotDepth  ",A,A,A,A,
"Emersion  ",A,A,A,A,
"Meteo     ",A,A,A,A,
"HeatBal   ",A,A,A,A,
"DAYRAD    ",A,A,A,A,
"Temperatur",A,A,A,A,
"VarSal    ", , ,A,A,
"Salinchlor",A,A,A,A,
"Veloc     ",A,A,A,A,
"ResTim    ",A,A,A,A,
"VertDisp  ",A,A,A,A,
"HorzDisper",A,A,A,A,
"HDisperVel",A,A,A,A,
"Age1      ",A,A,A,A,
"Age2      ",A,A,A,A,
"Age3      ",A,A,A,A,
"Age4      ",A,A,A,A,
"Age5      ",A,A,A,A,
"WFetch    ",A,A,A,A,
"WDepth    ",A,A,A,A,
"Chezy     ",A,A,A,A,
"Wave      ",A,A,A,A,
"CalTau    ",A,A,A,A,
"pH_simp   ",A,A,A,A,
"SpecCarb  ",A,A,A,A,
"EXTINABVLP", ,A,A,A,
"EXTINABVL ", , ,A,A,
"ExtPhDVL  ",A, ,A,A,
"EXTINABUVP", ,A,A,A,
"EXTINABUV ", , ,A,A,
"ExtPhDUV  ",A, ,A,A,
"Extinc_VLG",A,A,A,A,
"Extinc_UVG",A,A,A,A,
"CalcRad   ",A,A,A,A,
"CalcRadDay",A,A,A,A,
"CalcRadUV ",A,A,A,A,
"Daylength ",A,A,A,A,
"DepAve    ",A,A,A,A,
"vtrans    ",A,A,A,A,
"BLOOM_P   ", ,A,A,A,
"BLOOM     ", , ,A,A,
"Phy_Blo_P ", ,A,A,A,
"Phy_Blo   ", , ,A,A,
"MakOOC    ",A,A,A,A,
"MakOOCS1  ",A,A,A,A,
"MakOOCS2  ",A,A,A,A,
"Phy_dyn   ",A, ,A,A,
"S1_Comp   ",A,A,A,A,
"S2_Comp   ",A,A,A,A,
"Compos    ",A,A,A,A,
"DMVolume  ",A,A,A,A,
"EColiMrt  ",A,A,A,A,
"FColiMrt  ",A,A,A,A,
"TColiMrt  ",A,A,A,A,
"EnCocMrt  ",A,A,A,A,
"SaturCO2  ",A,A,A,A,
"RearCO2   ",A,A,A,A,
"AdsPO4AAP ",A,A,A,A,
"DenSed_NO3",A,A,A,A,
"DenWat_NO3",A,A,A,A,
"Nitrif_NH4",A,A,A,A,
"SaturOXY  ",A,A,A,A,
"RearOXY   ",A,A,A,A,
"VAROXY    ",A,A,A,A,
"BMS1_DetC ",A,A,A,A,
"BMS2_DetC ",A,A,A,A,
"BMS1_DetN ",A,A,A,A,
"BMS2_DetN ",A,A,A,A,
"BMS1_DetP ",A,A,A,A,
"BMS2_DetP ",A,A,A,A,
"BMS1_DetSi",A,A,A,A,
"BMS2_DetSi",A,A,A,A,
"BMS1_OOC  ",A,A,A,A,
"BMS2_OOC  ",A,A,A,A,
"BMS1_OON  ",A,A,A,A,
"BMS2_OON  ",A,A,A,A,
"BMS1_OOP  ",A,A,A,A,
"BMS2_OOP  ",A,A,A,A,
"BMS1_OOSi ",A,A,A,A,
"BMS2_OOSi ",A,A,A,A,
"Deso_AAPS1",A,A,A,A,
"Deso_AAPS2",A,A,A,A,
"BODCOD    ",A,A,A,A,
"DBOD_TEWOR",A,A,A,A,
"DecFast   ",A,A,A,A,
"DecMedium ",A,A,A,A,
"DecSlow   ",A,A,A,A,
"DecRefr   ",A,A,A,A,
"DecDOC    ",A,A,A,A,
"DecPOC5   ",A,A,A,A,
"Vivianit  ",A,A,A,A,
"DisSi     ",A,A,A,A,
"SedOXYDem ",A,A,A,A,
"TF_Green  ",A,A,A,A,
"TF_Diat   ",A,A,A,A,
"DL_Green  ",A,A,A,A,
"DL_Diat   ",A,A,A,A,
"DL_DiatS1 ",A,A,A,A,
"NLGreen   ",A,A,A,A,
"NLDiat    ",A,A,A,A,
"Rad_Green ",A,A,A,A,
"Rad_Diat  ",A,A,A,A,
"Rad_DiatS1",A,A,A,A,
"GroMrt_Gre",A,A,A,A,
"GroMrt_Dia",A,A,A,A,
"GroMrt_DS1",A,A,A,A,
"PPrLim    ",A, ,A,A,
"NutUpt_Alg",A, ,A,A,
"NutRel_Alg",A, ,A,A,
"NRAlg_S1  ",A,A,A,A,
"OXYMin    ",A,A,A,A,
"CONSELAC  ",A,A,A,A,
"EBULCH4   ",A,A,A,A,
"SaturCH4  ",A,A,A,A,
"VolatCH4  ",A,A,A,A,
"SPECSUD   ",A,A,A,A,
"SPECSUDS1 ",A,A,A,A,
"SPECSUDS2 ",A,A,A,A,
"OXIDSUD   ",A,A,A,A,
"PRECSUL   ",A,A,A,A,
"OXIDCH4   ",A,A,A,A,
"SPECIRON  ",A,A,A,A,
"IRONOX    ",A,A,A,A,
"SULPHOX   ",A,A,A,A,
"IRONRED   ",A,A,A,A,
"PRIRON    ",A,A,A,A,
"CalVS_IM1 ",A,A,A,A,
"CalVS_IM2 ",A,A,A,A,
"CalVS_IM3 ",A,A,A,A,
"CalVS_POC1",A,A,A,A,
"CalVS_POC2",A,A,A,A,
"CalVS_POC3",A,A,A,A,
"CalVS_POC4",A,A,A,A,
"CalVS_Diat",A,A,A,A,
"CalVS_Gree",A,A,A,A,
"CalVSALG  ", ,A,A,A,
"CalVSALG01", , ,A,A,
"CalVSALG02", , ,A,A,
"CalVSALG03", , ,A,A,
"CalVSALG04", , ,A,A,
"CalVSALG05", , ,A,A,
"CalVSALG06", , ,A,A,
"CalVSALG07", , ,A,A,
"CalVSALG08", , ,A,A,
"CalVSALG09", , ,A,A,
"CalVSALG10", , ,A,A,
"CalVSALG11", , ,A,A,
"CalVSALG12", , ,A,A,
"CalVSALG13", , ,A,A,
"CalVSALG14", , ,A,A,
"CalVSALG15", , ,A,A,
"CalVSALG16", , ,A,A,
"CalVSALG17", , ,A,A,
"CalVSALG18", , ,A,A,
"CalVSALG19", , ,A,A,
"CalVSALG20", , ,A,A,
"CalVSALG21", , ,A,A,
"CalVSALG22", , ,A,A,
"CalVSALG23", , ,A,A,
"CalVSALG24", , ,A,A,
"CalVSALG25", , ,A,A,
"CalVSALG26", , ,A,A,
"CalVSALG27", , ,A,A,
"CalVSALG28", , ,A,A,
"CalVSALG29", , ,A,A,
"CalVSALG30", , ,A,A,
"Sed_IM1   ",A,A,A,A,
"Sed_IM2   ",A,A,A,A,
"Sed_IM3   ",A,A,A,A,
"SedDiat   ",A,A,A,A,
"Sed_Gre   ",A,A,A,A,
"SEDALG    ", ,A,A,A,
"SEDALG01  ", , ,A,A,
"SEDALG02  ", , ,A,A,
"SEDALG03  ", , ,A,A,
"SEDALG04  ", , ,A,A,
"SEDALG05  ", , ,A,A,
"SEDALG06  ", , ,A,A,
"SEDALG07  ", , ,A,A,
"SEDALG08  ", , ,A,A,
"SEDALG09  ", , ,A,A,
"SEDALG10  ", , ,A,A,
"SEDALG11  ", , ,A,A,
"SEDALG12  ", , ,A,A,
"SEDALG13  ", , ,A,A,
"SEDALG14  ", , ,A,A,
"SEDALG15  ", , ,A,A,
