r2_cid,r2_sid
"Delft3D   ","Continuity"
"Delft3D   ","ModTemp   "
"Delft3D   ","FrCon     "
"Delft3D   ","FrFlow    "
"Delft3D   ","SalBnd    "
"Delft3D   ","Salinity  "
"Delft3D   ","Cl        "
"Delft3D   ","IM1       "
"Delft3D   ","IM2       "
"Delft3D   ","IM3       "
"Delft3D   ","Cd        "
"Delft3D   ","Cu        "
"Delft3D   ","Zn        "
"Delft3D   ","Cr        "
"Delft3D   ","Hg        "
"Delft3D   ","Pb        "
"Delft3D   ","As        "
"Delft3D   ","Va        "
"Delft3D   ","Ni        "
"Delft3D   ","BODC      "
"Delft3D   ","Green     "
"Delft3D   ","Diat      "
"Delft3D   ","NO3       "
"Delft3D   ","NH4       "
"Delft3D   ","DetN      "
"Delft3D   ","PO4       "
"Delft3D   ","AAP       "
"Delft3D   ","DetP      "
"Delft3D   ","Si        "
"Delft3D   ","DetSi     "
"Delft3D   ","OXY       "
"Delft3D   ","TColi     "
"Delft3D   ","EColi     "
"Delft3D   ","FColi     "
"Delft3D   ","EnCoc     "
"Delft3D   ","153       "
"Delft3D   ","ATR       "
"Delft3D   ","BaP       "
"Delft3D   ","Flu       "
"Delft3D   ","Mef       "
"Delft3D   ","Diu       "
"Delft3D   ","HCH       "
"Delft3D   ","HCB       "
"Delft3D   ","cTR1      "
"Delft3D   ","dTR1      "
"Delft3D   ","cTR2      "
"Delft3D   ","dTR2      "
"Delft3D   ","cTR3      "
"Delft3D   ","dTR3      "
"Delft3D   ","cTR4      "
"Delft3D   ","dTR4      "
"Delft3D   ","cTR5      "
"Delft3D   ","dTR5      "
"Delft3D   ","TIC       "
"Delft3D   ","H+        "
"Delft3D   ","H2O       "
"Delft3D   ","CBOD5     "
"Delft3D   ","CBOD5_2   "
"Delft3D   ","CBOD5_3   "
"Delft3D   ","CBODu     "
"Delft3D   ","CBODu_2   "
"Delft3D   ","COD_Cr    "
"Delft3D   ","COD_Mn    "
"Delft3D   ","NBOD5     "
"Delft3D   ","NBODu     "
"Delft3D   ","POC1      "
"Delft3D   ","POC2      "
"Delft3D   ","POC3      "
"Delft3D   ","POC4      "
"Delft3D   ","DOC       "
"Delft3D   ","PON1      "
"Delft3D   ","PON2      "
"Delft3D   ","PON3      "
"Delft3D   ","PON4      "
"Delft3D   ","DON       "
"Delft3D   ","POP1      "
"Delft3D   ","POP2      "
"Delft3D   ","POP3      "
"Delft3D   ","POP4      "
"Delft3D   ","DOP       "
"Delft3D   ","POS1      "
"Delft3D   ","POS2      "
"Delft3D   ","POS3      "
"Delft3D   ","POS4      "
"Delft3D   ","DOS       "
"Delft3D   ","Opal      "
"Delft3D   ","MPB1peli  "
"Delft3D   ","MPB2psam  "
"Delft3D   ","Mnd1Diat-m"
"Delft3D   ","Mnd2Flag-m"
"Delft3D   ","Mnd3Diat-f"
"Delft3D   ","Mnd4Flag-f"
"Delft3D   ","BLOOMALG01"
"Delft3D   ","BLOOMALG02"
"Delft3D   ","BLOOMALG03"
"Delft3D   ","BLOOMALG04"
"Delft3D   ","BLOOMALG05"
"Delft3D   ","BLOOMALG06"
"Delft3D   ","BLOOMALG07"
"Delft3D   ","BLOOMALG08"
"Delft3D   ","BLOOMALG09"
"Delft3D   ","BLOOMALG10"
"Delft3D   ","BLOOMALG11"
"Delft3D   ","BLOOMALG12"
"Delft3D   ","BLOOMALG13"
"Delft3D   ","BLOOMALG14"
"Delft3D   ","BLOOMALG15"
