sgrpid,sgrpnm
"General                       ","General                                           "
"Age and fraction              ","Age and fraction                                  "
"Charon component              ","Charon component                                  "
"Charon hybrid                 ","Charon hybrid                                     "
"Charon species                ","Charon species                                    "
"Coli-Bacteria                 ","Coli-Bacteria                                     "
"Eutrophication                ","Eutrophication                                    "
"GEM Substances                ","GEM Substances                                    "
"Heavy metals                  ","Heavy metals                                      "
"Kajima specials               ","Kajima specials                                   "
"Organic micro pollutants      ","Organic micro pollutants                          "
"Oxygen-BOD                    ","Oxygen-BOD                                        "
"Suspended matter              ","Suspended matter                                  "
"Auxiliary nut.bal.DBS         ","Auxiliary nut.bal.DBS                             "
"ASM Substances                ","ASM Substances                                    "
"Vegetation module             ","Vegetation module                                 "
