itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"Volume    ","x"," ",   -999.000    ,"(m3)                ","volume of computational cell                      ","volume    ","volume    "," ","                              "
"Surf      ","x"," ",   0.100000    ,"(m2)                ","horizontal surface area of a DELWAQ segment       ","volume    ","volume    "," ","                              "
"Depth     ","x"," ",   -999.000    ,"(m)                 ","depth of segment                                  ","volume    ","volume    "," ","                              "
"TotalDepth","x"," ",   -999.000    ,"(m)                 ","total depth water column                          ","volume    ","volume    "," ","                              "
"LocalDepth","x"," ",   -999.000    ,"(m)                 ","depth from water surface to bottom of segment     ","volume    ","volume    "," ","                              "
"LocSedDept","x"," ",    0.00000    ,"(m)                 ","Sediment layer depth to bottom of segment         ","volume    ","volume    "," ","                              "
"ZThreshold","x"," ",   0.100000E-01,"(m)                 ","depth threshold for emersion                      ","volume    ","volume    "," ","                              "
"SwEmersion","x"," ",    0.00000    ,"(-)                 ","switch indicating submersion(0) or emersion(1)    ","volume    ","volume    "," ","                              "
"dDumEmersi","x"," ",   -999.000    ,"(-)                 ","dummy flux to access Emersion                     ","volume    ","volume    "," ","                              "
"Continuity","x"," ",    1.00000    ,"(g/m3)              ","Continuity                                        ","volume    ","volume    ","x","General                       "
"Rad_1     ","x"," ",   -999.000    ,"(W/m2)              ","Global radiation at station 1                     ","volume    ","volume    "," ","                              "
"VWind_1   ","x"," ",   -999.000    ,"(m/s)               ","Wind velocity at staion 1                         ","volume    ","volume    "," ","                              "
"WinDir_1  ","x"," ",   -999.000    ,"(degrees)           ","wind direction (pair 1)                           ","volume    ","volume    "," ","                              "
"RelHum_1  ","x"," ",   -999.000    ,"(%)                 ","Relative air humidity at station 1                ","volume    ","volume    "," ","                              "
"AirTemp_1 ","x"," ",   -999.000    ,"(oC)                ","Air temperature at station 1                      ","volume    ","volume    "," ","                              "
"AirPres_1 ","x"," ",   -999.000    ,"(mbar)              ","Air pressure at station 1                         ","volume    ","volume    "," ","                              "
"SQ_1      ","x"," ",   -999.000    ,"(h)                 ","Sunshine duration per day                         ","volume    ","volume    "," ","                              "
"Rad_2     ","x"," ",   -999.000    ,"(W/m2)              ","Global radiation at station 2                     ","volume    ","volume    "," ","                              "
"VWind_2   ","x"," ",   -999.000    ,"(m/s)               ","Wind velocity at staion 2                         ","volume    ","volume    "," ","                              "
"WinDir_2  ","x"," ",   -999.000    ,"(degrees)           ","wind direction (pair 2)                           ","volume    ","volume    "," ","                              "
"RelHum_2  ","x"," ",   -999.000    ,"(%)                 ","Relative air humidity at station 2                ","volume    ","volume    "," ","                              "
"AirTemp_2 ","x"," ",   -999.000    ,"(oC)                ","Air temperature at station 2                      ","volume    ","volume    "," ","                              "
"AirPres_2 ","x"," ",   -999.000    ,"(mbar)              ","Air pressure at station 2                         ","volume    ","volume    "," ","                              "
"SQ_2      ","x"," ",   -999.000    ,"(h)                 ","Sunshine duration per day                         ","volume    ","volume    "," ","                              "
"Rad_3     ","x"," ",   -999.000    ,"(W/m2)              ","Global radiation at station 3                     ","volume    ","volume    "," ","                              "
"VWind_3   ","x"," ",   -999.000    ,"(m/s)               ","Wind velocity at staion 3                         ","volume    ","volume    "," ","                              "
"WinDir_3  ","x"," ",   -999.000    ,"(degrees)           ","wind direction (pair 3)                           ","volume    ","volume    "," ","                              "
"RelHum_3  ","x"," ",   -999.000    ,"(%)                 ","Relative air humidity at station 3                ","volume    ","volume    "," ","                              "
"AirTemp_3 ","x"," ",   -999.000    ,"(oC)                ","Air temperature at station 3                      ","volume    ","volume    "," ","                              "
"AirPres_3 ","x"," ",   -999.000    ,"(mbar)              ","Air pressure at station 3                         ","volume    ","volume    "," ","                              "
"SQ_3      ","x"," ",   -999.000    ,"(h)                 ","Sunshine duration per day                         ","volume    ","volume    "," ","                              "
"Rad_4     ","x"," ",   -999.000    ,"(W/m2)              ","Global radiation at station 4                     ","volume    ","volume    "," ","                              "
"VWind_4   ","x"," ",   -999.000    ,"(m/s)               ","Wind velocity at staion 4                         ","volume    ","volume    "," ","                              "
"WinDir_4  ","x"," ",   -999.000    ,"(degrees)           ","wind direction (pair 4)                           ","volume    ","volume    "," ","                              "
"RelHum_4  ","x"," ",   -999.000    ,"(%)                 ","Relative air humidity at station 4                ","volume    ","volume    "," ","                              "
"AirTemp_4 ","x"," ",   -999.000    ,"(oC)                ","Air temperature at station 4                      ","volume    ","volume    "," ","                              "
"AirPres_4 ","x"," ",   -999.000    ,"(mbar)              ","Air pressure at station 4                         ","volume    ","volume    "," ","                              "
"SQ_4      ","x"," ",   -999.000    ,"(h)                 ","Sunshine duration per day                         ","volume    ","volume    "," ","                              "
"Rad_5     ","x"," ",   -999.000    ,"(W/m2)              ","Global radiation at station 5                     ","volume    ","volume    "," ","                              "
"VWind_5   ","x"," ",   -999.000    ,"(m/s)               ","Wind velocity at staion 5                         ","volume    ","volume    "," ","                              "
"WinDir_5  ","x"," ",   -999.000    ,"(degrees)           ","wind direction (pair 5)                           ","volume    ","volume    "," ","                              "
"RelHum_5  ","x"," ",   -999.000    ,"(%)                 ","Relative air humidity at station 5                ","volume    ","volume    "," ","                              "
"AirTemp_5 ","x"," ",   -999.000    ,"(oC)                ","Air temperature at station 5                      ","volume    ","volume    "," ","                              "
"AirPres_5 ","x"," ",   -999.000    ,"(mbar)              ","Air pressure at station 5                         ","volume    ","volume    "," ","                              "
"SQ_5      ","x"," ",   -999.000    ,"(h)                 ","Sunshine duration per day                         ","volume    ","volume    "," ","                              "
"XMeteo1   ","x"," ",   -999.000    ,"(m)                 ","X-coordinate (metric) of station 1                ","volume    ","volume    "," ","                              "
"YMeteo1   ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate (metric) of station 1                ","volume    ","volume    "," ","                              "
"XMeteo2   ","x"," ",   -999.000    ,"(m)                 ","X-coordinate (metric) of station 2                ","volume    ","volume    "," ","                              "
"YMeteo2   ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate (metric) of station 2                ","volume    ","volume    "," ","                              "
"XMeteo3   ","x"," ",   -999.000    ,"(m)                 ","X-coordinate (metric) of station 3                ","volume    ","volume    "," ","                              "
"YMeteo3   ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate (metric) of station 3                ","volume    ","volume    "," ","                              "
"XMeteo4   ","x"," ",   -999.000    ,"(m)                 ","X-coordinate (metric) of station 4                ","volume    ","volume    "," ","                              "
"YMeteo4   ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate (metric) of station 4                ","volume    ","volume    "," ","                              "
"XMeteo5   ","x"," ",   -999.000    ,"(m)                 ","X-coordinate (metric) of station 5                ","volume    ","volume    "," ","                              "
"YMeteo5   ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate (metric) of station 5                ","volume    ","volume    "," ","                              "
"XYScaleFac","x"," ",    1.00000    ,"(-)                 ","Mult for meteo to segment coordinates             ","volume    ","volume    "," ","                              "
"NoMeteoSta","x"," ",    1.00000    ,"(-)                 ","Number of Meteo stations in calculation           ","volume    ","volume    "," ","                              "
"MeteoClcSW","x"," ",    1.00000    ,"(-)                 ","Option (1=nearest; 2= lin dist 3=squared dist )   ","volume    ","volume    "," ","                              "
"XSeg      ","x"," ",   -999.000    ,"(m)                 ","X-coordinate of DELWAQ segment (metric)           ","volume    ","volume    "," ","                              "
"YSeg      ","x"," ",   -999.000    ,"(m)                 ","Y-coordinate of DELWAQ segment (metric)           ","volume    ","volume    "," ","                              "
"RadSW     ","x"," ",    0.00000    ,"(W/m2)              ","Short wave radiation reaching water               ","volume    ","volume    "," ","                              "
"VWind     ","x"," ",    3.00000    ,"(m/s)               ","wind speed                                        ","volume    ","volume    "," ","                              "
"WinDir    ","x"," ",   -999.000    ,"(degree)            ","Wind direction at location                        ","volume    ","volume    "," ","                              "
"RelHumAir ","x"," ",    80.0000    ,"(%)                 ","Relative air humidity                             ","volume    ","volume    "," ","                              "
"TempAir   ","x"," ",    15.0000    ,"(oC)                ","Air temperature                                   ","volume    ","volume    "," ","                              "
"PAtm      ","x"," ",    1000.00    ,"(mbar)              ","Air pressure                                      ","volume    ","volume    "," ","                              "
"SunFac    ","x"," ",    0.00000    ,"(%)                 ","Percentage sunshine                               ","volume    ","volume    "," ","                              "
"fReflSW   ","x"," ",   0.500000E-01,"(-)                 ","Reflection factor for Qsw                         ","volume    ","volume    "," ","                              "
"SWEmiss   ","x"," ",    1.00000    ,"(-)                 ","Switch for calculation of emissivity              ","volume    ","volume    "," ","                              "
"SBC       ","x"," ",   0.567000E-07,"(W/m2/K-4)          ","StefanBolzman Constant                            ","volume    ","volume    "," ","                              "
"fReflA    ","x"," ",   0.300000E-01,"(-)                 ","Reflection factor for Qa                          ","volume    ","volume    "," ","                              "
"EmissWat  ","x"," ",   0.970000    ,"(-)                 ","Emissivity (colour factor) of surface water       ","volume    ","volume    "," ","                              "
"NatTemp   ","x"," ",    15.0000    ,"(oC)                ","air temperature                                   ","volume    ","volume    ","x","                              "
"RhoWat0   ","x"," ",    1000.00    ,"(kg/m3)             ","density of water at 4°C                           ","volume    ","volume    "," ","                              "
