old_name,new_name,old_default,configuration,serial,action_type
"Chloride  ","Salinchlor",    0.00000    ,"          ",2012032801,         1
"Chloride  ","SWSalCl   ",    0.00000    ,"          ",2012032801,         6
"Salin     ","Salinchlor",    0.00000    ,"          ",2012032801,         1
"Salin     ","SWSalCl   ",    1.00000    ,"          ",2012032801,         6
"DetC      ","POC1      ",    0.00000    ,"          ",2012032801,         2
"DetN      ","PON1      ",    0.00000    ,"          ",2012032801,         2
"DetP      ","POP1      ",    0.00000    ,"          ",2012032801,         2
"DetSi     ","Opal      ",    0.00000    ,"          ",2012032801,         2
"OOC       ","POC2      ",    0.00000    ,"          ",2012032801,         2
"OON       ","PON2      ",    0.00000    ,"          ",2012032801,         2
"OOP       ","POP2      ",    0.00000    ,"          ",2012032801,         2
"OOSi      ","n.a.      ",    9.00000    ,"          ",2012032801,         7
"POC_DYN   ","Compos    ",    0.00000    ,"          ",2012032801,         1
"POC_gem   ","Compos    ",    0.00000    ,"          ",2012032801,         1
"WM_DetC   ","DecFast   ",    0.00000    ,"          ",2012032801,         1
"WM_DetC   ","Conselac  ",    0.00000    ,"          ",2012032801,         4
"WM_DetC   ","SWOxCon   ",    1.00000    ,"          ",2012032801,         6
"WM_DetC   ","SO4       ",    0.00000    ,"          ",2012032801,         6
"WM_DetC   ","b_poc1poc2",    0.00000    ,"          ",2012032801,         6
"WM_DetC   ","b_poc1doc ",    0.00000    ,"          ",2012032801,         6
"WM_DetC   ","SWOMDec   ",    1.00000    ,"          ",2012032801,         6
"WM_DetC   ","kl_dFdcC20",   0.120000    ,"          ",2012032801,         6
"WM_DetC   ","ku_dFdcC20",   0.120000    ,"          ",2012032801,         6
"WM_DetN   ","n.a.      ",    6.00000    ,"          ",2012032801,         5
"WM_DetN   ","kl_dFdcN20",   0.120000    ,"          ",2012032801,         6
"WM_DetN   ","ku_dFdcN20",   0.120000    ,"          ",2012032801,         6
"WM_DetP   ","n.a.      ",    6.00000    ,"          ",2012032801,         5
"WM_DetP   ","kl_dFdcP20",   0.800000E-01,"          ",2012032801,         6
"WM_DetP   ","ku_dFdcP20",   0.800000E-01,"          ",2012032801,         6
"ZMinDetC  ","n.a.      ",    6.00000    ,"          ",2012032801,         7
"RcDetC    ","kl_dFdcC20",    0.00000    ,"          ",2012032801,         2
"RcDetCHigh","ku_dFdcC20",    0.00000    ,"          ",2012032801,         9
"kl_dFdcC20","ku_dFdcC20",    0.00000    ,"          ",2012032801,         8
"TcDetC    ","kT_dec    ",    0.00000    ,"          ",2012032801,         2
"NCMinLimH ","au_dNf    ",    0.00000    ,"          ",2012032801,         2
"NCMinLimL ","al_dNf    ",    0.00000    ,"          ",2012032801,         2
"PCMinLimH ","au_dPf    ",    0.00000    ,"          ",2012032801,         2
"PCMinLimL ","al_dPf    ",    0.00000    ,"          ",2012032801,         2
"ZMinDetN  ","n.a.      ",    6.00000    ,"          ",2012032801,         7
"RcDetN    ","kl_dFdcN20",    0.00000    ,"          ",2012032801,         2
"RcDetNHigh","ku_dFdcN20",    0.00000    ,"          ",2012032801,         9
"kl_dFdcN20","ku_dFdcN20",    0.00000    ,"          ",2012032801,         8
"TcDetN    ","kT_dec    ",    0.00000    ,"          ",2012032801,         2
"TcDetN    ","n.a.      ",    7.00000    ,"          ",2012032801,         7
"ZMinDetP  ","n.a.      ",    6.00000    ,"          ",2012032801,         7
"RcDetP    ","kl_dFdcP20",    0.00000    ,"          ",2012032801,         2
"RcDetPHigh","ku_dFdcP20",    0.00000    ,"          ",2012032801,         9
"kl_dFdcP20","ku_dFdcP20",    0.00000    ,"          ",2012032801,         8
"TcDetP    ","kT_dec    ",    0.00000    ,"          ",2012032801,         2
"TcDetP    ","n.a.      ",    7.00000    ,"          ",2012032801,         7
"WM_DetSi  ","DisSi     ",    0.00000    ,"          ",2012032801,         1
"WM_DetSi  ","SWDisSi   ",    1.00000    ,"          ",2012032801,         6
