procid,procco,procfo,procnm
"DynDepth  ",123,"DDEPTH    ","dynamic calculation of the depth                  "
"DynSurf   ",123,"DSURF     ","Dynamic calculation of the horizontal surface area"
"TotDepth  ",123,"TOTDEP    ","depth water column                                "
"Emersion  ",123,"EMERSI    ","handle emersion z layers                          "
"Meteo     ",123,"METEO     ","Process meteo from various meteo-stations         "
"HeatBal   ",123,"HEATFL    ","Total heat flux for surface water                 "
"DAYRAD    ",123,"DAYRAD    ","Irradiance over the day                           "
"Temperatur",123,"TEMPER    ","Temperature and heat exchange                     "
"VarSal    ",123,"VARSAL    ","salinity in case of constant river discharge      "
"Salinchlor",123,"SALCHL    ","onversion of salinity into chloride or vv         "
"Veloc     ",123,"VELOC     ","horizontal flow velocity                          "
"ResTim    ",123,"RESTIM    ","residence time                                    "
"VertDisp  ",  3,"STOX3D    ","Vertical dispersion (segment -> exchange)         "
"HorzDisper",  1,"HDISP     ","Horizontal dispersion in a 1D model               "
"HDisperVel",123,"HDISPV    ","Horizontal dispersion velocity dependent          "
"Age1      ",123,"WATAGE    ","Age of water from source 1                        "
"Age2      ",123,"WATAGE    ","Age of water from source 2                        "
"Age3      ",123,"WATAGE    ","Age of water from source 3                        "
"Age4      ",123,"WATAGE    ","Age of water from source 4                        "
"Age5      ",123,"WATAGE    ","Age of water from source 5                        "
"WFetch    ",123,"INTPOL    ","Wind Fetch from wind direction                    "
"WDepth    ",123,"INTPOL    ","Depth where wave is created from wind direction   "
"Chezy     ",123,"CALCHZ    ","Chezy coefficient                                 "
"Wave      ",123,"CALWAV    ","Wave characteristics                              "
"CalTau    ",123,"CALTAU    ","Calculation of bottom friction                    "
"pH_simp   ",123,"SIMPH     ","Simple calculation of pH                          "
"SpecCarb  ",123,"SPCARB    ","Speciation of carbonate in solution               "
"EXTINABVLP",123,"EXTINA    ","Extinction of light by algae (Bloom)              "
"EXTINABVL ",123,"EXTINA    ","Extinction of light by algae (Bloom)              "
"ExtPhDVL  ",123,"EXTINA    ","Extinction of visual light by algae (Dynamo)      "
"EXTINABUVP",123,"EXTINA    ","Extinction of UV light by algae (Bloom)           "
"EXTINABUV ",123,"EXTINA    ","Extinction of UV light by algae (Bloom)           "
"ExtPhDUV  ",123,"EXTINA    ","Extinction of UV light by algae (Dynamo)          "
"Extinc_VLG",123,"EXTINC    ","Extinction of visible-light (370-680nm) DLWQ-G    "
"Extinc_UVG",123,"EXTINC    ","Extinction of ultraviolet-light (350-480nm) DLWQ-G"
"CalcRad   ",123,"CLCRAD    ","Radiation at segment upper and lower boundaries   "
"CalcRadDay",123,"CLCRAD    ","Actual radiation at segment boundaries            "
"CalcRadUV ",123,"CLCRAD    ","UV-Radiation at segment upper and lower boundaries"
"Daylength ",123,"DAYL      ","Daylength calculation                             "
"DepAve    ",123,"DEPAVE    ","Average depth for Bloom step                      "
"vtrans    ",  3,"VTRANS    ","vertical mixing distribution over a period        "
"BLOOM_P   ",123,"D40BLO    ","BLOOM II algae module                             "
"BLOOM     ",123,"D40BLO    ","BLOOM II algae module                             "
"Phy_Blo_P ",123,"PHCOMB    ","Computation of phytoplankton output - Bloom       "
"Phy_Blo   ",123,"PHCOMB    ","Computation of phytoplankton output - Bloom       "
"MakOOC    ",123,"MAKPOC    ","Derive POCnoa from IM-fractions                   "
"MakOOCS1  ",123,"MAKPOC    ","Derive POC in S1 from IM-fractions in S1          "
"MakOOCS2  ",123,"MAKPOC    ","Derive POC in S2 from IM-fractions in S2          "
"Phy_dyn   ",123,"PHCOMP    ","Computation of phytoplankton - Dynamo             "
"S1_Comp   ",123,"SEDCOM    ","Composition sediment layer S1                     "
"S2_Comp   ",123,"SEDCOM    ","Composition sediment S2                           "
"Compos    ",123,"WKCOMP    ","Composition                                       "
"DMVolume  ",123,"DMVOL     ","Volume of dry matter in a segment                 "
"EColiMrt  ",123,"BACMRT    ","Mortality EColi bacteria                          "
"FColiMrt  ",123,"BACMRT    ","Mortality FColi bacteria                          "
"TColiMrt  ",123,"BACMRT    ","Mortality TColi bacteria                          "
"EnCocMrt  ",123,"BACMRT    ","Mortality Enterococci bacteria                    "
"SaturCO2  ",123,"SATCO2    ","Saturation concentration carbon dioxide           "
"RearCO2   ",123,"REAR      ","Reaeration of carbon dioxide                      "
"AdsPO4AAP ",123,"ADSPO4    ","Ad(De)Sorption ortho phosphorus to inorg. matter  "
"DenSed_NO3",123,"DENSED    ","Denitrification in sediment                       "
"DenWat_NO3",123,"DENWAT    ","Denitrification in water column                   "
"Nitrif_NH4",123,"NITRIF    ","Nitrification of ammonium                         "
"SaturOXY  ",123,"SATOXY    ","Saturation concentration oxygen                   "
"RearOXY   ",123,"REAR      ","Reaeration of oxygen                              "
"VAROXY    ",123,"VAROXY    ","Variation of primary production within day        "
"BMS1_DetC ",123,"BOTMIN    ","Mineralisation detritus carbon in sediment S1     "
"BMS2_DetC ",123,"BOTMIN    ","Mineralisation detritus carbon in sediment S2     "
"BMS1_DetN ",123,"BOTMIN    ","Mineralisation detritus nitrogen in sediment S1   "
"BMS2_DetN ",123,"BOTMIN    ","Mineralisation detritus nitrogen in sediment S2   "
"BMS1_DetP ",123,"BOTMIN    ","Mineralisation detritus phosphorus in sediment S1 "
"BMS2_DetP ",123,"BOTMIN    ","Mineralisation detritus phosphorus in sediment S2 "
"BMS1_DetSi",123,"BOTMIN    ","Mineralisation detritus silica in sediment S1     "
"BMS2_DetSi",123,"BOTMIN    ","Mineralisation detritus silica in sediment S2     "
"BMS1_OOC  ",123,"BOTMIN    ","Mineralisation other organic C in sediment S1     "
